Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
Per OB1D              ;Per ; 35.54717900 ;+57.1724721 ;Op   ;OC    ;  232.7;   2415;   -0.45;   -1.22;        ; Alessi (Gaia DR2)   ;poss matches: UBC 191, FoF 2136, UBC 192, UBC 421, UBC 419
FoF 180               ;Per ; 37.54853360 ;+58.0974434 ;Op   ;OC:   ;  114.5;   2770;   -0.35;   -0.84;        ; arXiv:1910.12600v1  ;includes NGC 957, UBC 421, UBC 606, UBC 192, UBC 191
FoF 2134              ;Per ; 38.26059080 ;+58.1884633 ;Op   ;OC    ;  159.2;   2203;   -0.23;   -0.79;        ; arXiv:1910.12600v1  ;includes UBC 421, UBC 192, UBC 191
Per OB2               ;Per ; 56.93172460 ;+33.7086274 ;Op   ;OC    ;  190.8;    338;    4.31;   -6.15;        ; Alessi (Gaia DR2)   ;poss matches: Theia 21, UPK 338
Theia 77              ;Per ; 60.22617690 ;+32.9831086 ;Op   ;Str   ;  967.9;    372;    3.47;   -5.29;   20.79; 2019AJ....158..122K ;includes Per OB2, UBC 31
Theia 678             ;Per ; 68.54228340 ;+52.2975595 ;Op   ;Str   ; 3904.0;    133;  -13.07;   -0.67;  -10.13; 2019AJ....158..122K ;larger than 1 radian
MAF 3                 ;Psc ;  3.60583300 ; +2.4344440 ;Op   ;Str   ;  960.0;    122;        ;        ;        ; arXiv:1901.06387v1  ;check - missing PMs
Pisces MG             ;Psc ;350.60291700 ; -2.2280560 ;Op   ;YAs   ; 1590.0;    100;        ;        ;        ; Alessi              ;check - missing PMs
FoF 375               ;Pup ;112.14178300 ;-15.3620721 ;Op   ;OC?   ;   45.2;   3650;   -1.28;    1.50;        ; arXiv:1910.12600v1  ;includes Czernik 29, Haffner 10
Theia 74              ;Pup ;115.73205860 ;-41.6073779 ;Op   ;Str   ; 1679.0;    336;   -9.95;    5.09;   14.99; 2019AJ....158..122K ;6+ condensations
AWJ 260.25-10.25      ;Pup ;117.27583300 ;-46.4650000 ;Op   ;YAs   ;   85.0;    397;        ;        ;        ; Alessi              ;?Escorial 25
Pup OB1               ;Pup ;117.94593720 ;-26.4864332 ;Op   ;OC    ;  299.1;   3185;   -2.62;    2.89;        ; Alessi (Gaia DR2)   ;poss matches: FoF 1428, FoF 1429, UBC 461, FoF 946, UBC 640, FoF 941
