Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
BBJ_2                 ;Pup ;119.70000000 ;-49.4000000 ;Op   ;OC    ;  120.0;    408;      ;  7.14;   -5.52;    8.20;   20.85; 2019A&A...621A.115C ;Teutsch 33, Vela Ring C, UPK 519, FoF 2396
BBJ_3b                ;Pup ;119.74700000 ;-45.7620000 ;Op   ;OC    ;   36.0;    412;      ;  7.54;   -5.44;    7.71;        ; Alessi (Gaia DR2)   ;?UPK 514
BBJ_5                 ;Vel ;123.01317500 ;-46.4002310 ;Op   ;OC    ;   19.0;    365;      ;  6.97;   -7.52;    9.22;        ; 2018MNRAS.481L..11B ;Escorial 28, NO Vel, FoF 2402
BBJ_6                 ;Pup ;119.99921400 ;-46.5250130 ;Op   ;OC    ;  220.0;    331;      ;  7.48;  -11.47;    4.65;   11.41; 2018MNRAS.481L..11B ;?UPK 514
BDB_10                ;Sgr ;273.55875000 ;-17.9197222 ;IR   ;EC    ;    0.9;   2915;      ;      ;   -0.40;   -0.25;        ; 2019ApJ...885..131R ;W33 Cl, G12.8-0.2 Cl
BDB_100               ;Cas ; 13.10000000 ;+56.5627778 ;IR   ;EC    ;    3.9;   2375;      ;      ;   -2.69;   -1.77;        ; 2014ApJ...783..130R ;NGC 281-West Cl, IRAS 00494+5617
BDB_12                ;Sgr ;275.12500000 ;-16.1819444 ;IR   ;EC    ;    1.9;   1980;      ;  6.33;    0.68;   -1.42;        ; 2014ApJ...783..130R ;in NGC 6618
BDB_162               ;Aur ; 84.45000000 ;+31.9900000 ;IR   ;EC    ;    3.5;    963;      ;      ;    1.84;   -5.86;        ; 2014ApJ...783..130R ;NGC 1985 Cl, AFGL 5157 Cl, KKC 8, IRAS 05345+3157
BDB_168               ;Tau ; 85.10000000 ;+23.8483333 ;IR   ;EC    ;   10.0;   1754;      ;      ;    0.13;   -1.40;        ; 2014ApJ...783..130R ;GGD 4 Cl, KKC 10, IRAS 05373+2349, Majaess 63
BDB_186               ;Ori ; 93.22083330 ;+17.9894444 ;IR   ;EC    ;    2.6;   1592;      ;      ;   -0.14;   -0.84;        ; 2014ApJ...783..130R ;IC 2162 Cl, Sh2-255/7 Cl
BDB_19                ;Ser ;277.49166670 ; +1.2130556 ;IR   ;EC    ;    0.9;    436;      ;      ;    3.60;   -8.34;        ; 2017ApJ...834..143O ;Serpens SVS4 Cl
BDB_192               ;Ori ; 93.65416670 ;+13.8283333 ;IR   ;EC    ;    1.2;   5291;      ;      ;   -0.42;   -0.12;        ; 2014ApJ...783..130R ;Sh2-269 Cl
BDB_196               ;Mon ; 97.77500000 ;+10.4283330 ;IR   ;EC    ;    2.4;    685;      ;      ;   -2.54;   -4.45;        ; Alessi (Gaia DR2)   ;IC 446 Grp, VY Mon Grp
BDB_21                ;Ser ;277.48750000 ; +1.2402780 ;IR   ;EC    ;    2.4;    416;      ;      ;    2.58;   -8.84;        ; Alessi (Gaia DR2)   ;Ser Core A, Hodapp 19, BDB 20
BDB_221               ;Ori ; 84.11250000 ; -6.7461110 ;IR   ;EC?   ;    6.0;    419;      ;      ;    0.61;    0.16;        ; Alessi (Gaia DR2)   ;V380 Ori Grp
BDB_228               ;Ori ; 85.70833300 ; -8.6436110 ;IR   ;EC?   ;    8.0;    397;      ;      ;     0.6;   -0.39;        ; Alessi (Gaia DR2)   ;IRAS 05404-0839
BDB_229               ;Mon ; 91.79500000 ; -6.0650000 ;IR   ;EC    ;   18.6;   1270;  0.58;  8.53;   -2.25;    0.16;        ; Alessi (Gaia DR2)   ;IRAS 06046-0603
